subsystem,route,page/component,form,field,DB column,current semantic meaning,classification,current source,current trust,target source,editable,defaultable,server authoritative,offline impact,historical migration behavior,implementation ticket
Daily Checkout,"POST /api/public/apparatuses/{id}/inspection-sessions",Daily Checkout wizard,Inspection session,"request user",daily_checkout_inspection_sessions.actor_user_id,Optional session actor,Actor,Request::user on a public route,Low-null,"AuthenticatedMemberContext.user",No,Yes,Yes,"Bind session_generation and actor affinity","Preserve null historical sessions; no fabricated backfill",F01
Daily Checkout,"POST /api/public/apparatuses/{id}/inspections",OfficerStep,Daily inspection,operator_name,apparatus_inspections.operator_name,Claimed operator display name,Actor,Browser employee picker,Untrusted,"AuthenticatedMemberContext.employee snapshot",No,Yes,Yes,"Completed queue locked to original actor","Keep submitted legacy name as provenance; add canonical actor prospectively",F01
Daily Checkout,"POST /api/public/apparatuses/{id}/inspections",OfficerStep,Daily inspection,employee_id,apparatus_inspections.employee_id,Claimed Employee database PK,Actor,Browser payload,Untrusted,"AuthenticatedMemberContext.employee.id",No,Yes,Yes,"Affinity must include User and Employee IDs","Do not rewrite historical IDs; flag mismatches",F01
Daily Checkout,"POST /api/public/apparatuses/{id}/inspections",OfficerStep,Daily inspection,rank,apparatus_inspections.rank,Operator rank snapshot,Actor snapshot,Browser payload,Untrusted,"AuthenticatedMemberContext.employee.rank snapshot",No,Yes,Yes,"Snapshot travels with retained completed payload but server re-resolves","Keep historical submitted rank",F01
Daily Checkout,"POST /api/public/apparatuses/{id}/inspections",OfficerStep,Daily inspection,shift,apparatus_inspections.shift,Work shift,Context,Browser payload,Untrusted,"StationWorkContext or explicit validated workflow input",Conditional,Yes,Yes,"Queue stores source and value","Keep historical value/source unknown",F01
Daily Checkout,"POST /api/public/apparatuses/{id}/inspections",Signature step,Daily inspection,officer_signature,apparatus_inspections.officer_signature,Attestation image,Attestation,Browser canvas,Unverified,"Authenticated signer plus retained signature artifact",Yes,No,Signer identity yes,"Retain locally with actor affinity and quota handling","Never rewrite prior signature; label legacy assurance",F01
Daily Checkout,"POST /api/public/apparatuses/{id}/inspections",Apparatus route,Daily inspection,apparatus route ID,apparatus_inspections.apparatus_id,Inspected apparatus,Context,Browser route then locked server model,High for record identity,"Authorized server model plus StationWorkContext",Conditional,Yes,Yes,"Store apparatus snapshot and revalidate at sync","Preserve existing apparatus and display snapshots",F01
Daily Checkout,"POST /api/apparatus-inspections/{inspection}/approve",Admin review,Inspection review,"request user",apparatus_inspection_review_events.reviewer_user_id,Reviewer,Reviewer,Authenticated User,High,"AuthenticatedMemberContext.user plus policy",No,Yes,Yes,Online only,"Preserve review events unchanged",F01
Station Request,"POST /api/public/station_request",StationRequestWizard,Station request,requested_by_employee_id,station_requests.requested_by_employee_id,Currently treated as requester Actor,Actor-like but ambiguous,Browser employee picker,Untrusted,"Actor from context; optional beneficiary_employee_id only when owner-approved",No for Actor; conditional for beneficiary,Yes,Yes,"Generic queue needs actor affinity and UUID/hash","Retain requested_by as legacy evidence; no semantic backfill without decision",F02
Station Request,"POST /api/public/station_request",StationRequestWizard,Station request,station_id,station_requests.station_id,Work station,Context,Browser canonical ID plus server relationship validation,Medium,"StationWorkContext; explicit selection when allowed",Conditional,Yes,Yes,"Queue stores station source and lock state","Preserve station ID and snapshots",F02
Station Request,"PATCH /api/admin/station-requests/{id}/transition",Admin station request,Workflow transition,assigned_to_user_id,station_requests.assigned_to_user_id,Workflow assignee,Assignee,Authorized admin input,Medium,"Authorized assignment policy",Yes,No,Yes,Online only,"Preserve assignments and events",F02
Station Request,"PATCH /api/admin/station-requests/{id}/transition",Admin station request,Workflow transition,"request user",station_request_updates.changed_by_user_id,Workflow actor/reviewer,Reviewer,Authenticated User,High,"AuthenticatedMemberContext.user",No,Yes,Yes,Online only,"Preserve update history",F02
Fire Equipment,"POST /api/public/fire_equipment_request",EquipmentRequestWizard,Equipment request,requested_by,legacy adapter requester name,Claimed requester,Actor,Browser free text,Untrusted,"AuthenticatedMemberContext employee snapshot",No,Yes,Yes,"Queue locked to original actor","Keep legacy text as submitted provenance",F02
Fire Equipment,"POST /api/public/fire_equipment_request",EquipmentRequestWizard,Equipment request,member_signature,legacy request signature,Member attestation,Attestation,Browser canvas,Unverified,"Authenticated signer plus artifact",Yes,No,Signer identity yes,"Retain with affinity/quota controls","Do not rewrite historical signature",F02
Fire Equipment,"POST /api/public/fire_equipment_request",EquipmentRequestWizard,Equipment request,officer_signature,legacy request signature,Officer attestation/approval,Reviewer or Attestation,Browser canvas,Unverified,"Separately authenticated officer/reviewer if policy requires",Yes,No,Yes,"Cannot silently reuse submitter identity","Keep historical artifact; classify assurance",F02
Station Inspection,"POST /api/public/station_inspection",StationInspectionWizard,Station inspection,inspector_id,station_inspections.inspector_id,Inspector,Actor,Explicit null in public controller,None,"AuthenticatedMemberContext.user",No,Yes,Yes,"Queue actor affinity required","Preserve historical nulls; no guessed backfill",F02
Station Inspection,"POST /api/public/station_inspection",StationInspectionWizard,Station inspection,station display string,station_inspections.station_id,Inspected station,Context,Hard-coded/browser string resolved by server,Low,"Canonical station ID from StationWorkContext",Conditional,Yes,Yes,"Store station snapshot/source","Preserve resolved historical station",F02
Station Inspection,"POST /api/public/station_inspection",StationInspectionWizard,Station inspection,signature,station_inspections.inspector_signature,Inspector attestation,Attestation,Browser canvas without canonical actor,Unverified,"Authenticated signer plus artifact",Yes,No,Yes,"Retain and owner-bind","Keep prior signature and null actor provenance",F02
Station Inspection,"PUT /api/station-inspections/{id}",Admin/API form,Station inspection,reviewed_by,station_inspections.reviewed_by,Reviewer,Reviewer,Browser-supplied User ID,Untrusted,"AuthenticatedMemberContext.user after review policy",No,Yes,Yes,Online only,"Preserve old values as legacy; new events authoritative",F02
Big Ticket,"POST /api/big-ticket-requests",Legacy station form,Big ticket request,"request user",station_requests actor adapter,Optional requester,Actor,Request::user on unguarded route,Low-null,"AuthenticatedMemberContext.user",No,Yes,Yes,"Queue/idempotency contract required","Preserve legacy null actors",F02
Station Inventory v1,"POST /api/station-inventory-submissions",StationInventoryForm,Inventory submission,employee_name,station_inventory_submissions.employee_name,Claimed employee,Actor-like,Browser text,Untrusted,"AuthenticatedMemberContext employee snapshot",No,Yes,Yes,"Add UUID/hash and affinity","Preserve PDF/submission strings",F03
Station Inventory v1,"POST /api/station-inventory-submissions",StationInventoryForm,Inventory submission,created_by,station_inventory_submissions.created_by,Optional User actor,Actor,Request::user on unguarded route,Low-null,"AuthenticatedMemberContext.user",No,Yes,Yes,"Add owner-bound retry","Preserve historical nulls",F03
Station Inventory v1,"POST /api/station-inventory-submissions",StationInventoryForm,Inventory submission,shift,station_inventory_submissions.shift,Work shift,Context,Browser choice,Untrusted,"StationWorkContext or validated selection",Conditional,Yes,Yes,"Store context source","Preserve historical value",F03
Station Inventory v2,"POST /api/v2/station-inventory/verify-pin",InventoryUserInfoStep,PIN verification,actor_name,signed URL and station_inventory_audits.actor_name,Claimed human actor,Actor,Browser text signed after PIN,Low,"AuthenticatedMemberContext employee snapshot",No,Yes,Yes,"PIN cannot unlock cross-account human sync","Keep signed legacy string as historical assurance",F03
Station Inventory v2,"POST /api/v2/station-inventory/verify-pin",InventoryUserInfoStep,PIN verification,actor_shift,signed URL and station_inventory_audits.actor_shift,Claimed shift,Context,Browser text signed after PIN,Low,"StationWorkContext shift/source",Conditional,Yes,Yes,"Device/station lease separate from user","Keep historical signed value",F03
