viewport,device class,required surfaces,layout contract,interaction contract,accessibility assertions,large-display/data-density assertion,evidence required,release class
320x568,small phone,"login; Daily; station request; personnel form","one column; 16px gutter; no covered primary action","touch; soft keyboard; portrait and 568x320 where signature used","44px targets; associated labels; visible focus; 200% zoom; error summary",N/A,"Playwright trace/screenshot on failure plus manual keyboard/touch",P0
360x800,phone,"login; Daily submit/offline; station inspection","one column; safe-area; sticky action must clear keyboard","touch and keyboard; reconnect","no horizontal overflow; named signature; role=status/alert",N/A,"automated bounds/overflow plus phone acceptance",P0
390x844,reference phone,"login; Daily station selector/wizards; Employee request","one column; current no-overflow baseline retained","touch; install/standalone; account switch","44px; logical tab; contrast/manual name-role-value","station cards remain scanable", "visual baseline and functional assertions",P0
430x932,large phone,"login; Daily; forms; key admin approval","one column; optional two-up only for short related controls","touch; camera/file; dialog/full-screen route","focus trap/Escape/return focus with hardware keyboard",N/A,"browser assertions and manual device",P0
568x320,phone landscape,"signature and critical form only","no clipped footer or canvas; contained horizontal regions","touch/pen; rotate without data loss","label and alternative signing path",N/A,"orientation trace and retained-form assertion",P1
768x1024,tablet portrait,"Daily; operational forms/PDF; Workgroup switch; video","1-2 columns; 24px gutter; table strategy selected","touch and keyboard","dialog bounds; 44px; focus lifecycle","supporting cards may use two columns","automated route/table/dialog matrix",P0
1024x768,tablet landscape,"Daily; forms; Workgroups; Admin representative table","2-column workflows only when related; sidebar/drawer intentional","touch/mouse/keyboard","no hover-only action; overflow signaled","data workspace can use priority columns","trace plus screenshot and action reachability",P0
1280x720,small desktop,"all release-critical workflows","standard max 1280; 32px gutter; primary action visible","mouse/keyboard","skip link; visible focus; modal within viewport","use useful columns rather than card stretching","full critical E2E",P0
1440x900,desktop baseline,"login; every panel shell; representative form/table/dialog; Daily","data workspace 1440; collapsible sidebar; contextual header","mouse/keyboard","axe signal plus manual WCAG checks","3-4 useful columns; identifier/action reachable","visual baseline and full critical E2E",P0
1920x1080,wide desktop,"dashboards; tables; Daily; Admin","wide dashboard <=1760; reading column <=760","mouse/keyboard","no focus loss on Livewire/React updates","add useful density/right rail only when operational","smoke plus table/data-density review",P1
2560x1440,ultra-wide,"dashboards; tables; Daily station selector","display workspace <=1920; 48px gutter","mouse/keyboard","body >=16px; labels >=14px","4-5 cards only when useful; no tiny centered island","visual baseline and overflow/action assertions",P1
3840x2160,4K display,"Daily station selector; command/dashboard; representative table","bounded 1920 display workspace; fluid headings/spacing; no full-width reading line","mouse/touch as target hardware allows","legible at viewing distance; focus visible","replace current postage-stamp 3-column cluster with 4-5 column/data-dense intentional layout","visual baseline plus physical display acceptance",P1
844x390,phone landscape,"Daily/signature/dialog","preserve state and primary action; no viewport trap","touch/pen/keyboard","canvas alternative; error remains associated",N/A,"orientation E2E",P1
