actor,scope,target,current authority,current risk,technical safe default,owner policy required,recent auth,target rule,audit requirement,implementation ticket
Anonymous,Global,Human operational writes,"Several public throttled POST routes",Forgeable/missing Actor,"Deny human writes; allow only explicit redacted reads or approved device capability",Public-read and kiosk policy,No,"No human record without canonical session",Log denied route and correlation without PII,A01
Canonical employee,Own account,Profile and password,"Split Employee guard",Cross-guard inconsistency,"May view/update allowed profile fields and change own password",Editable personnel fields,5 minutes for password,"Cannot change roles/status/recovery proof directly",Security event for password/session revocation,D01
Canonical employee,Operational,Create Daily/station/inventory/forms,"Public or Employee guard varies",Actor spoofing,"Require operation ability and derive Actor",Which workflows are public-read/device-assisted,Normal session; 15 minutes only if owner marks sensitive,"Subject/context separately validated",Immutable actor/context/idempotency evidence,F01-F03
Canonical employee,Personnel Request,Another Employee beneficiary,"Employee portal supports separation",Potential subject overreach,"Permit only approved beneficiary workflow and directory scope",Who may request for whom,Normal session,"Actor remains submitter; beneficiary explicit",Store both immutable snapshots,G02
Workgroup member,Selected Workgroup,Workgroup content,"Active membership scoped",Context drift,"Authorize active membership and selected context on every action",None for existing member behavior,Normal session,"No cross-group IDs or cached authority",Workgroup ID and actor,E02
Workgroup manager,One managed Workgroup,Membership/content,"Can manage scoped records and set global User password",Critical global credential escalation,"Membership/content only; no global credential or global role action",Exact membership roles and removals,5 minutes for sensitive membership changes,"Target must belong to managed group; global security fields prohibited",Membership delta and workgroup,B01
Training viewer,Training,Training records,"Role/permission panel access",Direct-route parity unproven,"Read only according to policy",Exact records considered sensitive,Normal session,"No write or global account authority",Denied writes and exports,E03
Training admin,Training,Training records/users,"Scoped role plus ad hoc checks",Potential global delegation drift,"Training abilities only; no global credential role",Who grants Training roles,5 minutes for role delta,"Cannot target equal/stronger or grant outside delegation",Role delta and target,C02
Admin,Global operations,Ordinary User,"Broad role-name access; password reset action",Critical reset escalation,"No operator-selected password; lower-target operational administration only",Delegated lower roles and recovery ownership,5 minutes,"Cannot act on self/equal/stronger; cannot grant super_admin",Before/after role/status and reason,C02
Admin,Global operations,Super Admin,"Can currently reset password",Critical takeover,"Deny",Any exceptional recovery path,5 minutes,"No equal/stronger target",Denied attempt and reason,B01
Logistics admin,Logistics,Inventory/apparatus/station,"Role-name gates",Scope may be broader than permissions,"Explicit logistics abilities only",Owner delegation list,5 minutes for role/security changes,"No global credential/security authority",Sensitive mutation events,C02
Super Admin,Global,Lower-privilege User,"Full bypass semantics",Unbounded delegation,"May perform owner-delegated lower-target actions; deny by default",Delegation table and break-glass custody,5 minutes,"No self bypass; protect last super admin",Immutable before/after/reason/CID,C02
Super Admin,Global,Another Super Admin,"Role selector and reset exposure",Equal-target takeover,"Deny until explicit owner policy",Whether equal-target action is ever permitted,5 minutes,"No password reset or role change by default",Denied/approved exception with second control,C02
Super Admin,Global,Create/remove Super Admin,"Possible through role assignment",Loss or proliferation of ultimate privilege,"Deny in normal UI",Named custodians/dual control/last-admin rule,5 minutes,"Dual-control or break-glass procedure required",High-severity security event,C02
Help desk,Recovery,User account,"No defined role/process",Insecure operator-known passwords,"No permanent password setting; one-time activation only",Proofing/channel/after-hours ownership,5 minutes,"Cannot recover self/equal/stronger outside approved procedure",Proofing class/actor/target/notification,C03
Account security admin,Global,Disable/reactivate User,"No status exists",No immediate suspension,"Disable increments security_version and revokes all; reactivation does not restore old sessions",Who may disable/reactivate and status meanings,5 minutes,"Cannot bypass last-admin/break-glass safeguards",Reason/actor/target/timestamps,C01-C03
Authenticated user,Own sessions,Current session,"Panel logout only",No inventory/global sign-out,"May revoke current/other/all own sessions",Retention/device naming,5 minutes for revoke-all if current auth stale,"Cannot view another user's session metadata",Registry event and revocation reason,D01
Security admin,Session response,Another user's sessions,"No authoritative registry",Privacy and overreach,"May revoke under explicit incident ability; minimal metadata",Who has incident-response authority,5 minutes,"No session payload/cookie/token visibility",Incident case/reason/target,D01
Device principal,Bound station,Station-scoped operation,"PIN/signed URL or shared token",Device confused with human,"Least privilege; provides station/device context only",Enrollment/rotation/custody,Device credential freshness,"Cannot assert human Actor or global role",Device ID/key version/station/result,E01
Station PIN holder,Station Inventory,Station operation,"Four-digit PIN issues signed URL with browser actor",Weak shared capability,"Transitional station capability only plus canonical human overlay",Keep/replace policy,No human recent-auth substitution,"Cannot name a human or escape station",PIN outcome/device context without PIN value,F03
Bid service,Identity exchange,Canonical User,"Shared bearer plus human password verifier",Human secret crossing/replay,"One-time signed audience-bound code/assertion",Bid federation ownership,Service key policy,"Cannot receive password or broader claims",Issuer/audience/code ID/result,H01
ScreenTinker service,Provisioning,Downstream account,"Shared bearer plus plaintext password",Critical credential propagation,"Passwordless provisioning/service principal only",Downstream supported contract,Service key policy,"No Hub password field accepted",Provisioning ID/result/redacted error,B01-H02
Snipe service,Identity provisioning,Snipe user,"Email reconciliation",Duplicate numeric history,"Persist and require numeric mapping; fail on ambiguity",Break-glass and SSO ownership,Service key policy,"No create/update until preview exact",Mapping run/result/no secrets,C03-H02
Display device,Read-only display,Operational display data,"Shared X-Display-Token",Shared credential blast radius,"Per-device read-only ability",Device rotation ownership,Device credential policy,"All non-GET denied",Device ID/route/status,H03
LiveKit service,Conference webhook,Conference event,"Signed webhook",Replay/provider failure,"Verify signature and provider event idempotency",Provider operational owner,Service contract,"No human identity from unbound claim",Provider event ID/result,H03
